"DocEntry","InstlmntID","ObjType","LogInstanc","DueDate","Status","DunnLevel","InsTotal","InsTotalFC","InsTotalSy","PaidToDate","PaidFC","PaidSys","VatSum","VatSumFC","VatSumSy","VatPaid","VatPaidFC","VatPaidSys","TotalExpns","TotalExpFC","TotalExpSC","ExpAppl","ExpApplFC","ExpApplSC","WTSum","WTSumFC","WTSumSC","WTApplied","WTAppliedF","WTAppliedS","TotalBlck","TotalBlckF","TotalBlckS","VATBlck","VATBlckFC","VATBlckSC","ExpnsBlck","ExpnsBlckF","ExpnsBlckS","WTBlocked","WTBlockedF","WTBlockedS","InstPrcnt","DunWizBlck","DunDate","Paid","PaidFrgn","PaidSc","reserved","TaxOnExp","TaxOnExpFc","TaxOnExpSc","TaxOnExpAp","TaxOnExApF","TaxOnExApS","TaxOnExBlo","TaxOnExBlF","TaxOnExBlS","LvlUpdDate","Ordered","PaidDpm","PaidDpmFc","PaidDpmSc"
103,1,"17",0,"2020-11-30 00:00:00.000000000","O",0,"118000.000000","0.000000","118000.000000","0.000000","0.000000","0.000000","18000.000000","0.000000","18000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
95,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"230690.000000","0.000000","230690.000000","0.000000","0.000000","0.000000","35190.000000","0.000000","35190.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
51,1,"17",0,"2021-02-01 00:00:00.000000000","O",0,"773136.000000","0.000000","773136.000000","0.000000","0.000000","0.000000","117936.000000","0.000000","117936.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
98,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"1062000.000000","0.000000","1062000.000000","0.000000","0.000000","0.000000","162000.000000","0.000000","162000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
49,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
70,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"3540000.000000","0.000000","3540000.000000","0.000000","0.000000","0.000000","540000.000000","0.000000","540000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
113,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"3540000.000000","0.000000","3540000.000000","0.000000","0.000000","0.000000","540000.000000","0.000000","540000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
112,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"1416000.000000","0.000000","1416000.000000","0.000000","0.000000","0.000000","216000.000000","0.000000","216000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
108,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
105,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"407974.380000","0.000000","407974.380000","0.000000","0.000000","0.000000","62233.380000","0.000000","62233.380000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
