"DocEntry","ExpnsCode","LineTotal","TotalFrgn","TotalSumSy","PaidToDate","PaidFC","PaidSys","Comments","ObjType","LogInstanc","DistrbMthd","TaxStatus","VatGroup","VatPrcnt","VatSum","VatSumFrgn","VatSumSy","DedVatSum","DedVatSumF","DedVatSumS","IsAcquistn","TaxCode","TaxType","WTLiable","VatApplied","VatAppldFC","VatAppldSC","EquVatPer","EquVatSum","EquVatSumF","EquVatSumS","LineVat","LineVatF","LineVatS","BaseMethod","Stock","LstPchPrce","AnalysRpt","BaseAbsEnt","BaseType","BaseRef","BaseLnNum","LineNum","Status","TrgType","TrgAbsEnt","StDstr","StDstrSC","StDstrFC","FixCurr","VatDscntPr","OcrCode","TaxDistMtd","OcrCode2","OcrCode3","OcrCode4","OcrCode5","Project","VatGrpSrc","DrawnTotal","DrawnFC","DrawnSC","GrsAmount","GrsFC","GrsSC","BaseTotal","RetReqLC","RetReqFC","RetReqSC","RRVatLC","RRVatFC","RRVatSC"
49,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
41,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
70,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
113,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
48,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
112,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
108,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
89,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
105,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
106,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
91,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
116,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
90,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
101,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
102,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
117,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
119,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
120,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
121,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
38,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
39,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
92,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
118,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
52,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
