"PROJECTCODE","PROJECTNAME","PROJECTFULLNAME"
"CR|PJ196","CR01_SANOFI_AHU_FILTER_CHANGE REQUEST","CR01_SANOFI_AHU_FILTER_CHANGE REQUEST(CR|PJ196)"
"CR|PJ068","AMC21_ADANI-POWER(MUNDRA) LTD_ELOGBOOK","AMC21_ADANI-POWER(MUNDRA) LTD_ELOGBOOK(CR|PJ068)"
"CR|PJ198","DRL_NEW CR(T&M)","DRL_NEW CR(T&M)(CR|PJ198)"
"CR|PJ199","BD_LUKHNOW BIJALI NIGAM AUTOMAION PROSPECT","BD_LUKHNOW BIJALI NIGAM AUTOMAION PROSPECT(CR|PJ199)"
"CR|PJ200","BD_DRL_NRGP","BD_DRL_NRGP(CR|PJ200)"
"CR|PJ201","BD_BRIDGESTONE_WMS_KHEDA","BD_BRIDGESTONE_WMS_KHEDA(CR|PJ201)"
"CR|PJ178","AMC21_KPM_WAREHOUSE MANAGEMENT","AMC21_KPM_WAREHOUSE MANAGEMENT(CR|PJ178)"
"CR|PJ232","AMC_DRL_MRO WAREHOUSE MANAGMENT","AMC_DRL_MRO WAREHOUSE MANAGMENT(CR|PJ232)"
"CR|PJ205","BD_JNJ ASSET TRACKING","BD_JNJ ASSET TRACKING(CR|PJ205)"
"CR|PJ236","AMC21_DRL","AMC21_DRL(CR|PJ236)"
"CR|PJ197","CR01_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 1","CR01_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 1(CR|PJ197)"
"CR|PJ208","TAORI E-INVOICING ADD -ON DEPLOYMENT","TAORI E-INVOICING ADD -ON DEPLOYMENT(CR|PJ208)"
"CR|PJ209","DEV_INT_Crave_WMS Offline","DEV_INT_Crave_WMS Offline(CR|PJ209)"
"CR|PJ210","DEV_INT_Crave_cWMS Copy to S/4HANA 1909","DEV_INT_Crave_cWMS Copy to S/4HANA 1909(CR|PJ210)"
"CR|PJ211","DEV_INT_Crave_WMS RFID","DEV_INT_Crave_WMS RFID(CR|PJ211)"
"CR|PJ229","BD_MARICO_ORDER MANAGEMENT","BD_MARICO_ORDER MANAGEMENT(CR|PJ229)"
"CR|PJ213","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-6","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-6(CR|PJ213)"
"CR|PJ214","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-6","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-6(CR|PJ214)"
"CR|PJ215","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-2","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-2(CR|PJ215)"
"CR|PJ216","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-5","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-5(CR|PJ216)"
"CR|PJ217","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-2","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-2(CR|PJ217)"
"CR|PJ218","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-3","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-3(CR|PJ218)"
"CR|PJ219","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-8","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-8(CR|PJ219)"
"CR|PJ220","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-1","IMP_DRL _MRO BARCODE LABELLING_ PLANT CTO-1(CR|PJ220)"
"CR|PJ221","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-7","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-7(CR|PJ221)"
"CR|PJ222","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-PU1","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-PU1(CR|PJ222)"
"CR|PJ223","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-PU2","IMP_DRL _MRO BARCODE LABELLING_ PLANT FTO-PU2(CR|PJ223)"
"CR|PJ224","DEV_INT_EWM_RF_UI_USING MDK","DEV_INT_EWM_RF_UI_USING MDK(CR|PJ224)"
"CR|PJ225","BD_AMC FOLLOW UP","BD_AMC FOLLOW UP(CR|PJ225)"
"CR|PJ226","BD_Dominos_DSD","BD_Dominos_DSD(CR|PJ226)"
"CR|PJ227","BD_DRL EUROPE_ROLLOUT","BD_DRL EUROPE_ROLLOUT(CR|PJ227)"
"CR|PJ212","BD_ALKEM LABORATORIES_WMS","BD_ALKEM LABORATORIES_WMS(CR|PJ212)"
"CR|PJ188","IMP_DRL_CR FOR PREVENTIVE MAINTENANCE REPORT","IMP_DRL_CR FOR PREVENTIVE MAINTENANCE REPORT(CR|PJ188)"
"CR|PJ230","BD_COMMSCOPE_FIORI APP ANALYSIS","BD_COMMSCOPE_FIORI APP ANALYSIS(CR|PJ230)"
"CR|PJ231","IMP_COMMSCOPE_ARRIS S/4 ROLL OUT","IMP_COMMSCOPE_ARRIS S/4 ROLL OUT(CR|PJ231)"
"CR|PJ131","AMC21_HAKUHODO_SAP B1 LISCENCE & CRAVE SUPPORT","AMC21_HAKUHODO_SAP B1 LISCENCE & CRAVE SUPPORT(CR|PJ131)"
"CR|PJ203","CR02_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 2","CR02_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 2(CR|PJ203)"
"CR|PJ204","CR03_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 3","CR03_ATGL_MYAGL_APPLICATION ENHANCEMENT_SPRINT 3(CR|PJ204)"
"CR|PJ243","SALES_CRAVE INFOTECH US_21","SALES_CRAVE INFOTECH US_21(CR|PJ243)"
"CR|PJ206","CR01_REGL_E-LOGBOOK 2020-21","CR01_REGL_E-LOGBOOK 2020-21(CR|PJ206)"
"CR|PJ207","CR01_REL_E-LOGBOOK","CR01_REL_E-LOGBOOK(CR|PJ207)"
"CR|PJ244","DM_CRAVE INFOTECH_21","DM_CRAVE INFOTECH_21(CR|PJ244)"
"CR|PJ155","US_SALES_CRAVE INFOTECH US","US_SALES_CRAVE INFOTECH US(CR|PJ155)"
"CR|PJ238","INT_INTERNAL TIME","INT_INTERNAL TIME(CR|PJ238)"
"CR|PJ239","INT_INTERVIEWS","INT_INTERVIEWS(CR|PJ239)"
"CR|PJ240","BD_GLENMARK PHARMACEUTICALS_ELOG","BD_GLENMARK PHARMACEUTICALS_ELOG(CR|PJ240)"
"CR|PJ241","BD_COCHIN SHIPYARD_ELOG","BD_COCHIN SHIPYARD_ELOG(CR|PJ241)"
"CR|PJ122","INT_SEO_DIGITAL MARKETING","INT_SEO_DIGITAL MARKETING(CR|PJ122)"
"CR|PJ245","AMC21_HAKUHODO_SAP B1 LISCENCE & CRAVE SUPPORT","AMC21_HAKUHODO_SAP B1 LISCENCE & CRAVE SUPPORT(CR|PJ245)"
"CR|PJ181","AMC21_SUNPHARMA_PM & CALIBRATION","AMC21_SUNPHARMA_PM & CALIBRATION(CR|PJ181)"
"CR|PJ247","INT_DEV_HOUSKEEPING APPLICATION","INT_DEV_HOUSKEEPING APPLICATION(CR|PJ247)"
"CR|PJ248","INT_DEV_EMR APPLICATION","INT_DEV_EMR APPLICATION(CR|PJ248)"
"CR|PJ249","INT_DEV_IHMS APPLICATION","INT_DEV_IHMS APPLICATION(CR|PJ249)"
