"DocEntry","InstlmntID","ObjType","LogInstanc","DueDate","Status","DunnLevel","InsTotal","InsTotalFC","InsTotalSy","PaidToDate","PaidFC","PaidSys","VatSum","VatSumFC","VatSumSy","VatPaid","VatPaidFC","VatPaidSys","TotalExpns","TotalExpFC","TotalExpSC","ExpAppl","ExpApplFC","ExpApplSC","WTSum","WTSumFC","WTSumSC","WTApplied","WTAppliedF","WTAppliedS","TotalBlck","TotalBlckF","TotalBlckS","VATBlck","VATBlckFC","VATBlckSC","ExpnsBlck","ExpnsBlckF","ExpnsBlckS","WTBlocked","WTBlockedF","WTBlockedS","InstPrcnt","DunWizBlck","DunDate","Paid","PaidFrgn","PaidSc","reserved","TaxOnExp","TaxOnExpFc","TaxOnExpSc","TaxOnExpAp","TaxOnExApF","TaxOnExApS","TaxOnExBlo","TaxOnExBlF","TaxOnExBlS","LvlUpdDate","Ordered","PaidDpm","PaidDpmFc","PaidDpmSc"
2,1,"204",0,"2018-05-21 00:00:00.000000000","C",0,"693143.960000","0.000000","693143.960000","693143.960000","0.000000","693143.960000","105733.830000","0.000000","105733.830000","105733.830000","0.000000","105733.830000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.260000","0.000000","0.260000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
8,1,"204",0,"2018-06-10 00:00:00.000000000","C",0,"64015.000000",,"64015.000000","64015.000000",,"64015.000000","9765.000000",,"9765.000000","9765.000000","0.000000","9765.000000","0.000000",,"0.000000","0.000000","0.000000","0.000000","0.000000",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"64015.000000","0.000000","64015.000000","N","0.000000",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
