"FormNo","Code","UserSign","ExNumData1","ExNumData2","ExNumData3","ExStrData1","ExStrData2","ExStrData3","FilterName"
"166","OrigJrnl--59",207,-59,,,,,,"_"
"757","604+1",120,1,2,8,"Consulting Services","","O1+A1+C1+B0","_"
"757","604+2",120,1,3,-1,"","","O1+A1+C107+B0","_"
"166","OrigJrnl--60",207,-60,,,,,,"_"
"166","OrigJrnl-10000046",207,10000046,,,,,,"_"
"166","OrigJrnl-10000071",207,10000071,,,,,,"_"
"166","OrigJrnl-10000079",207,10000079,,,,,,"_"
"166","OrigJrnl-13",207,13,,,,,,"_"
"166","OrigJrnl-14",207,14,,,,,,"_"
"166","OrigJrnl-140000009",207,140000009,,,,,,"_"
"757","604+1",85,1,2,-1,"","","O1+A1+C1+B0","_"
"166","OrigJrnl-140000010",207,140000010,,,,,,"_"
"166","OrigJrnl-1470000049",207,1470000049,,,,,,"_"
"166","OrigJrnl-1470000060",207,1470000060,,,,,,"_"
"166","OrigJrnl-1470000075",207,1470000075,,,,,,"_"
"166","OrigJrnl-1470000085",207,1470000085,,,,,,"_"
"166","OrigJrnl-1470000090",207,1470000090,,,,,,"_"
"166","OrigJrnl-1470000094",207,1470000094,,,,,,"_"
"166","OrigJrnl-15",207,15,,,,,,"_"
"166","OrigJrnl-16",207,16,,,,,,"_"
"166","OrigJrnl-162",207,162,,,,,,"_"
"166","OrigJrnl-18",207,18,,,,,,"_"
"166","OrigJrnl-19",207,19,,,,,,"_"
"166","OrigJrnl-20",207,20,,,,,,"_"
"166","OrigJrnl-202",207,202,,,,,,"_"
"166","OrigJrnl-203",207,203,,,,,,"_"
"166","OrigJrnl-204",207,204,,,,,,"_"
"166","OrigJrnl-21",207,21,,,,,,"_"
"166","OrigJrnl-24",207,24,,,,,,"_"
"166","OrigJrnl-25",207,25,,,,,,"_"
"166","OrigJrnl-254000061",207,254000061,,,,,,"_"
"166","OrigJrnl-254000062",207,254000062,,,,,,"_"
"166","OrigJrnl-30",207,30,,,,,,"_"
"166","OrigJrnl-310000001",207,310000001,,,,,,"_"
"166","OrigJrnl-321",207,321,,,,,,"_"
"166","OrigJrnl-46",207,46,,,,,,"_"
"166","OrigJrnl-57",207,57,,,,,,"_"
"166","OrigJrnl-58",207,58,,,,,,"_"
"166","OrigJrnl-59",207,59,,,,,,"_"
"166","OrigJrnl-60",207,60,,,,,,"_"
"166","OrigJrnl-67",207,67,,,,,,"_"
"166","OrigJrnl-68",207,68,,,,,,"_"
"166","OrigJrnl-69",207,69,,,,,,"_"
"166","OrigJrnl-76",207,76,,,,,,"_"
"40005","207",207,0,0,,"Y","Y",,"_"
"757","BPL-3",207,3,,,,,,"_"
"857","BPL-3",207,3,,,,,,"_"
"234000076","1",176,1,,,"N",,,"_"
"234000076","11",176,1,,,"N",,,"_"
"234000076","12",176,1,,,"N",,,"_"
"234000076","13",176,1,,,"N",,,"_"
"234000076","14",176,1,,,"N",,,"_"
"234000076","15",176,1,,,"N",,,"_"
"234000076","16",176,1,,,"N",,,"_"
"234000076","17",176,1,,,"N",,,"_"
"234000076","18",176,1,,,"N",,,"_"
"234000076","19",176,1,,,"N",,,"_"
"234000076","2",176,1,,,"N",,,"_"
"234000076","20",176,1,,,"N",,,"_"
"234000076","21",176,1,,,"N",,,"_"
"234000076","22",176,1,,,"N",,,"_"
"234000076","23",176,1,,,"N",,,"_"
"234000076","24",176,1,,,"N",,,"_"
"234000076","25",176,1,,,"N",,,"_"
"234000076","26",176,1,,,"N",,,"_"
"234000076","27",176,1,,,"N",,,"_"
