"DOCTYPE","DOCENTRY","LINENUM","CARDCODE","SALESEMPLOYEE","COUNTRYCODE","POSTINGDATE","DUEDATE","DOCUMENTDATE","ITEMCODE","WAREHOUSECODE","QUANTITY","SALESAMOUNT","SALESAMOUNTSC","BASEAMOUNT","GROSSPROFIT","GROSSPROFITSC","PERIOD","PROJECT"
13,536,1,"C00017",9,"IN","2019-12-01 00:00:00.000000000","2019-12-31 00:00:00.000000000","2019-12-31 00:00:00.000000000","SER0063","CI01","1.000000","12067.000000","12067.000000","0.000000","12067.000000","12067.000000","FY201920-09","CR|PJ152"
13,536,0,"C00017",9,"IN","2019-12-01 00:00:00.000000000","2019-12-31 00:00:00.000000000","2019-12-31 00:00:00.000000000","SER0055","CI01","1.000000","890.000000","890.000000","0.000000","890.000000","890.000000","FY201920-09","CR|PJ152"
13,22,1,"C00014",2,"IN","2018-05-21 00:00:00.000000000","2018-05-21 00:00:00.000000000","2018-05-21 00:00:00.000000000",,,"0.000000","114160.000000","114160.000000","114160.000000","0.000000","0.000000","FY201819-02","CR|PJ065"
13,22,0,"C00014",2,"IN","2018-05-21 00:00:00.000000000","2018-05-21 00:00:00.000000000","2018-05-21 00:00:00.000000000",,,"0.000000","14750.000000","14750.000000","14750.000000","0.000000","0.000000","FY201819-02","CR|PJ065"
13,189,0,"C00008",9,"IN","2019-01-10 00:00:00.000000000","2019-01-10 00:00:00.000000000","2019-01-10 00:00:00.000000000",,,"0.000000","58862.500000","58862.500000","58862.500000","0.000000","0.000000","FY201819-10","CR|PJ064"
13,184,0,"C00008",9,"IN","2019-01-10 00:00:00.000000000","2019-01-30 00:00:00.000000000","2019-01-10 00:00:00.000000000",,,"0.000000","25000.000000","25000.000000","25000.000000","0.000000","0.000000","FY201819-10","CR|PJ064"
13,225,1,"C00015",2,"IN","2018-12-27 00:00:00.000000000","2019-01-30 00:00:00.000000000","2018-12-27 00:00:00.000000000",,,"0.000000","99218.000000","99218.000000","99218.000000","0.000000","0.000000","FY201819-09","CR|PJ066"
13,225,0,"C00015",2,"IN","2018-12-27 00:00:00.000000000","2019-01-30 00:00:00.000000000","2018-12-27 00:00:00.000000000",,,"0.000000","396870.000000","396870.000000","396870.000000","0.000000","0.000000","FY201819-09","CR|PJ066"
13,164,0,"C00006",1,"IN","2018-12-18 00:00:00.000000000","2019-01-30 00:00:00.000000000","2018-12-18 00:00:00.000000000",,,"0.000000","136080.000000","136080.000000","136080.000000","0.000000","0.000000","FY201819-09","CR|PJ117"
13,116,6,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","500000.000000","500000.000000","500000.000000","0.000000","0.000000","FY201819-08","CR|PJ106"
