"ErnId","NumTypeId","NumTypeNam","FirstNum","NextNum","LastNum","ResetDate"
1,1,"RG23A Part I",1,1,,
1,2,"RG23A Part II",1,1,,
1,3,"RG23C Part I",1,1,,
1,4,"RG23C Part II",1,1,,
