"DocEntry","LineNum","GroupNum","ExpnsCode","RelateType","StcCode","StaCode","staType","TaxRate","TaxAcct","TaxSum","TaxSumFrgn","TaxSumSys","BaseSum","BaseSumFrg","BaseSumSys","ObjectType","LogInstanc","TaxStatus","VatApplied","VatAppldFC","VatAppldSC","LineSeq","DeferrAcct","BaseType","BaseAbs","BaseSeq","DeductTax","DdctTaxFrg","DdctTaxSys","BaseAppld","BaseApldFC","BaseApldSC","NonDdctPrc","NonDdctAct","TaxInPrice","Exempt","TaxExpAct","OnHoldTax","OnHoldTaxF","OnHoldTaxS","InGrossRev","TaxSumOrg","TaxSumOrgF","TaxSumOrgS","OpenTax","OpenTaxFC","OpenTaxSC","Unencumbrd","TaxOnRI","RvsChrgPrc","RvsChrgTax","RvsChrgSC","RvsChrgFC"
2,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"90328.900000","0.000000","90328.900000","501827.200000","0.000000","501827.200000","204",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"90328.900000","0.000000","90328.900000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
2,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"15404.930000","0.000000","15404.930000","85582.930000","0.000000","85582.930000","204",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"15404.930000","0.000000","15404.930000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
8,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000","_SYS00000000133","1085.000000","0.000000","1085.000000","6027.780000","0.000000","6027.780000","204",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"1085.000000","0.000000","1085.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
8,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000","_SYS00000000133","8680.000000","0.000000","8680.000000","48222.220000","0.000000","48222.220000","204",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"8680.000000","0.000000","8680.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
